Title:,Submit for verification,,,,,,,,,
Description:,Submit for verification,,,,,,,,,
Target state:,attachment_due,,,,,,,,,
URL:,,,,,,,,,,
Trigger:,User,,,,,,,,,
Guard expression:,python:here.guard_submit_transition(),,,,,,,,,
,,,,,,,,,,
[Transition],,,,,,,,,,
Id:,attach,,,,,,,,,
Title:,Add attachment,,,,,,,,,
Description:,Add attachment,,,,,,,,,
Target state:,to_be_verified,,,,,,,,,
URL:,,,,,,,,,,
Trigger:,User,,,,,,,,,
Guard expression:,python:here.guard_attach_transition(),,,,,,,,,
,,,,,,,,,,
[Transition],,,,,,,,,,
Id:,reject,,,,,,,,,
Title:,Reject,,,,,,,,,
Description:,Reject,,,,,,,,,
Target state:,rejected,,,,,,,,,
URL:,,,,,,,,,,
Trigger:,User,,,,,,,,,
Guard permission:,BIKA: Reject Worksheet,,,,,,,,,
,,,,,,,,,,
[Transition],,,,,,,,,,
Id:,retract,,,,,,,,,
Title:,Retract worksheet,,,,,,,,,
Description:,Retract worksheet,,,,,,,,,
Target state:,open,,,,,,,,,
URL:,,,,,,,,,,
Trigger:,User,,,,,,,,,
Guard expression:,python:here.guard_retract_transition(),,,,,,,,,
,,,,,,,,,,
[Transition],,,,,,,,,,
Id:,verify,,,,,,,,,
Title:,Verify,,,,,,,,,
Description:,Verify,,,,,,,,,
Target state:,verified,,,,,,,,,
URL:,,,,,,,,,,
Trigger:,User,,,,,,,,,
Guard expression:,python:here.guard_verify_transition(),,,,,,,,,
