Sample Id,Rep #,Product,ReducingSugar,pH,VolatileAcid,TotalAcid,MalicAcid,LacticAcid,Ethanol,Date,Time,Remark,
QC-001,Sd,SFW_06_1,0.107,0.004,0.001,0.002,0.004,0.011,0.001,2/11/2005,14:31 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,7.77,3.32,0.3,4.43,2.69,0.17,12.92,2/11/2005,14:53 PM,,
QC-001,2,SFW_06_1,7.85,3.32,0.29,4.43,2.71,0.16,12.91,2/11/2005,14:55 PM,,
QC-001,Mean,SFW_06_1,7.81,3.32,0.3,4.43,2.7,0.17,12.92,2/11/2005,14:55 PM,,
QC-001,Sd,SFW_06_1,0.057,0.004,0.005,0.004,0.015,0.006,0.008,2/11/2005,14:55 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,8.01,3.32,0.3,4.43,2.65,0.19,12.91,2/11/2005,14:57 PM,,
QC-001,2,SFW_06_1,7.87,3.32,0.3,4.44,2.64,0.23,12.91,2/11/2005,14:58 PM,,
QC-001,Mean,SFW_06_1,7.94,3.32,0.3,4.43,2.65,0.21,12.91,2/11/2005,14:58 PM,,
QC-001,Sd,SFW_06_1,0.097,0.003,0.003,0.007,0.006,0.022,0.004,2/11/2005,14:58 PM,,
Calibration,,,,,,,,,,,,,
QC-001,1,SFW_06_1,7.85,3.31,0.3,4.43,2.67,0.14,12.91,2/11/2005,14:59 PM,,
QC-001,2,SFW_06_1,8.05,3.31,0.3,4.43,2.71,0.14,12.9,2/11/2005,15:00 PM,,
QC-001,Mean,SFW_06_1,7.95,3.31,0.3,4.43,2.69,0.14,12.91,2/11/2005,15:00 PM,,
QC-001,Sd,SFW_06_1,0.144,0.002,0.002,0.002,0.029,0.001,0.002,2/11/2005,15:00 PM,,
Sample Id,Rep #,Product,ReducingSugar,pH,VolatileAcid,TotalAcid,MalicAcid,LacticAcid,Ethanol,Date,Time,Remark,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,109.55,2.98,0.07,6.16,1.57,0.56,16.04,3/11/2005,9:02 AM,,
QC-002,2,forts,109.5,2.99,0.06,6.15,1.58,0.59,16.07,3/11/2005,9:02 AM,,
QC-002,Mean,forts,109.53,2.98,0.06,6.16,1.58,0.58,16.05,3/11/2005,9:02 AM,,
QC-002,Sd,forts,0.04,0.006,0.006,0.004,0.007,0.02,0.023,3/11/2005,9:02 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,84.69,3.35,0.2,3.67,1.44,0.47,11.29,3/11/2005,9:03 AM,,
QC-002,2,forts,84.92,3.34,0.21,3.67,1.4,0.53,11.28,3/11/2005,9:04 AM,,
QC-002,Mean,forts,84.8,3.34,0.2,3.67,1.42,0.5,11.28,3/11/2005,9:04 AM,,
QC-002,Sd,forts,0.165,0.009,0.009,0.001,0.027,0.04,0.007,3/11/2005,9:04 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,96.64,3.59,0.14,2.79,1.45,0.58,12.32,3/11/2005,9:05 AM,,
QC-002,2,forts,96.37,3.6,0.13,2.79,1.52,0.59,12.31,3/11/2005,9:05 AM,,
QC-002,Mean,forts,96.51,3.6,0.13,2.79,1.48,0.59,12.32,3/11/2005,9:05 AM,,
QC-002,Sd,forts,0.195,0.008,0.006,0.001,0.047,0.006,0.007,3/11/2005,9:05 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,11.08,3.36,-0.21,3.19,2.68,-0.2,24.86,3/11/2005,9:06 AM,,
QC-002,2,forts,10.87,3.36,-0.21,3.19,2.71,-0.25,24.86,3/11/2005,9:07 AM,,
QC-002,Mean,forts,10.97,3.36,-0.21,3.19,2.69,-0.22,24.86,3/11/2005,9:07 AM,,
QC-002,Sd,forts,0.152,0,0.002,0.003,0.022,0.033,0,3/11/2005,9:07 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,76.92,3.88,-0.22,1.98,3.29,-0.24,25.85,3/11/2005,9:08 AM,,
QC-002,2,forts,76.44,3.89,-0.21,1.98,3.25,-0.27,25.83,3/11/2005,9:08 AM,,
QC-002,Mean,forts,76.68,3.89,-0.21,1.98,3.27,-0.26,25.84,3/11/2005,9:08 AM,,
QC-002,Sd,forts,0.344,0.007,0.009,0.003,0.023,0.023,0.014,3/11/2005,9:08 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,118.43,4.13,0.15,1.62,1.73,0.76,15.25,3/11/2005,9:09 AM,,
QC-002,2,forts,118.75,4.13,0.17,1.62,1.69,0.71,15.26,3/11/2005,9:10 AM,,
QC-002,Mean,forts,118.59,4.13,0.16,1.62,1.71,0.73,15.26,3/11/2005,9:10 AM,,
QC-002,Sd,forts,0.222,0.003,0.014,0.005,0.031,0.034,0.01,3/11/2005,9:10 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,112.19,4.27,-0.08,1.43,2.44,0.42,22.64,3/11/2005,9:11 AM,,
QC-002,2,forts,111.86,4.28,-0.09,1.43,2.44,0.49,22.65,3/11/2005,9:11 AM,,
QC-002,Mean,forts,112.02,4.28,-0.09,1.43,2.44,0.45,22.65,3/11/2005,9:11 AM,,
QC-002,Sd,forts,0.231,0.007,0.009,0.001,0,0.05,0.009,3/11/2005,9:11 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,101.32,3.08,0.09,5.65,1.57,0.61,14.73,3/11/2005,9:12 AM,,
QC-002,2,forts,101.09,3.08,0.09,5.65,1.58,0.59,14.73,3/11/2005,9:13 AM,,
QC-002,Mean,forts,101.21,3.08,0.09,5.65,1.57,0.6,14.73,3/11/2005,9:13 AM,,
QC-002,Sd,forts,0.164,0.002,0.001,0.004,0.01,0.015,0.001,3/11/2005,9:13 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,108.38,4.41,0.2,1.37,1.91,0.88,15.87,3/11/2005,9:13 AM,,
QC-002,2,forts,108.64,4.41,0.19,1.36,1.88,0.86,15.87,3/11/2005,9:14 AM,,
QC-002,Mean,forts,108.51,4.41,0.2,1.37,1.9,0.87,15.87,3/11/2005,9:14 AM,,
QC-002,Sd,forts,0.179,0.001,0.004,0.004,0.021,0.015,0.001,3/11/2005,9:14 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,118.09,4.18,0.14,1.91,1.78,0.78,17.14,3/11/2005,9:15 AM,,
QC-002,2,forts,118.16,4.18,0.13,1.9,1.96,0.79,17.13,3/11/2005,9:16 AM,,
QC-002,Mean,forts,118.13,4.18,0.13,1.91,1.87,0.79,17.14,3/11/2005,9:16 AM,,
QC-002,Sd,forts,0.049,0.002,0.003,0.012,0.127,0.004,0.002,3/11/2005,9:16 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,99.53,3.14,-0.16,4.88,2.03,0.33,22.03,3/11/2005,9:16 AM,,
QC-002,2,forts,99.57,3.15,-0.14,4.88,2.06,0.24,22.07,3/11/2005,9:17 AM,,
QC-002,Mean,forts,99.55,3.14,-0.15,4.88,2.05,0.28,22.05,3/11/2005,9:17 AM,,
QC-002,Sd,forts,0.032,0.01,0.01,0.003,0.019,0.06,0.025,3/11/2005,9:17 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,108.91,3.58,-0.1,3.27,2.15,0.38,21.75,3/11/2005,9:18 AM,,
QC-002,2,forts,109.45,3.58,-0.09,3.27,1.99,0.32,21.76,3/11/2005,9:19 AM,,
QC-002,Mean,forts,109.18,3.58,-0.09,3.27,2.07,0.35,21.75,3/11/2005,9:19 AM,,
QC-002,Sd,forts,0.384,0,0.014,0,0.112,0.043,0.006,3/11/2005,9:19 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,112.7,4.23,-0.07,1.5,2.38,0.3,22.68,3/11/2005,9:19 AM,,
QC-002,2,forts,113.14,4.23,-0.08,1.51,2.43,0.46,22.68,3/11/2005,9:20 AM,,
QC-002,Mean,forts,112.92,4.23,-0.08,1.51,2.41,0.38,22.68,3/11/2005,9:20 AM,,
QC-002,Sd,forts,0.311,0.002,0.008,0.006,0.038,0.112,0,3/11/2005,9:20 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,112.79,4.35,-0.03,1.34,2.41,0.4,21.92,3/11/2005,9:21 AM,,
QC-002,2,forts,112.84,4.34,-0.04,1.34,2.34,0.57,21.94,3/11/2005,9:22 AM,,
QC-002,Mean,forts,112.82,4.34,-0.03,1.34,2.38,0.49,21.93,3/11/2005,9:22 AM,,
QC-002,Sd,forts,0.04,0.009,0.007,0.005,0.045,0.121,0.015,3/11/2005,9:22 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,109.54,2.95,0.06,6.29,1.55,0.55,16.02,3/11/2005,9:50 AM,,
QC-002,2,forts,109.82,2.94,0.06,6.28,1.63,0.63,16.06,3/11/2005,9:51 AM,,
QC-002,Mean,forts,109.68,2.94,0.06,6.29,1.59,0.59,16.04,3/11/2005,9:51 AM,,
QC-002,Sd,forts,0.195,0.005,0.001,0.004,0.057,0.053,0.03,3/11/2005,9:51 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,110.13,3.01,0.06,5.96,1.61,0.66,16.17,3/11/2005,9:52 AM,,
QC-002,2,forts,110.07,3.02,0.06,5.95,1.61,0.59,16.18,3/11/2005,9:53 AM,,
QC-002,Mean,forts,110.1,3.01,0.06,5.96,1.61,0.62,16.17,3/11/2005,9:53 AM,,
QC-002,Sd,forts,0.038,0.007,0.001,0.007,0.001,0.046,0.006,3/11/2005,9:53 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,110.64,4.15,0.14,1.81,1.79,0.82,16.07,3/11/2005,9:53 AM,,
QC-002,2,forts,111.43,4.16,0.16,1.81,1.62,0.79,16.11,3/11/2005,9:54 AM,,
QC-002,Mean,forts,111.03,4.16,0.15,1.81,1.71,0.8,16.09,3/11/2005,9:54 AM,,
QC-002,Sd,forts,0.561,0.003,0.015,0,0.118,0.025,0.025,3/11/2005,9:54 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,109.85,4.39,0.18,1.41,1.92,0.93,16.11,3/11/2005,9:55 AM,,
QC-002,2,forts,109.93,4.39,0.19,1.41,1.8,0.89,16.11,3/11/2005,9:55 AM,,
QC-002,Mean,forts,109.89,4.39,0.19,1.41,1.86,0.91,16.11,3/11/2005,9:55 AM,,
QC-002,Sd,forts,0.051,0.002,0.004,0.001,0.085,0.027,0.004,3/11/2005,9:55 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,111.81,4.51,0.21,1.27,2,0.93,16.4,3/11/2005,9:56 AM,,
QC-002,2,forts,111.93,4.51,0.2,1.27,1.97,0.93,16.4,3/11/2005,9:57 AM,,
QC-002,Mean,forts,111.87,4.51,0.21,1.27,1.99,0.93,16.4,3/11/2005,9:57 AM,,
QC-002,Sd,forts,0.084,0,0.004,0,0.02,0.005,0,3/11/2005,9:57 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,88.73,3.13,-0.06,4.88,1.5,0.41,19.8,3/11/2005,9:58 AM,,
QC-002,2,forts,88.43,3.13,-0.07,4.88,1.62,0.46,19.8,3/11/2005,9:58 AM,,
QC-002,Mean,forts,88.58,3.13,-0.06,4.88,1.56,0.44,19.8,3/11/2005,9:58 AM,,
QC-002,Sd,forts,0.211,0.001,0.008,0,0.08,0.036,0.001,3/11/2005,9:58 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,110.12,4.39,0.19,1.41,1.93,0.94,16.1,3/11/2005,9:59 AM,,
QC-002,2,forts,109.93,4.39,0.19,1.41,1.88,0.92,16.1,3/11/2005,10:00 AM,,
QC-002,Mean,forts,110.02,4.39,0.19,1.41,1.9,0.93,16.1,3/11/2005,10:00 AM,,
QC-002,Sd,forts,0.134,0.002,0.003,0.004,0.037,0.014,0.005,3/11/2005,10:00 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,111.89,4.51,0.22,1.27,2.06,0.93,16.38,3/11/2005,10:01 AM,,
QC-002,2,forts,111.79,4.51,0.21,1.26,2.01,0.94,16.4,3/11/2005,10:01 AM,,
QC-002,Mean,forts,111.84,4.51,0.22,1.26,2.04,0.93,16.39,3/11/2005,10:01 AM,,
QC-002,Sd,forts,0.068,0.001,0.005,0.002,0.036,0.009,0.007,3/11/2005,10:01 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,87.95,3.15,-0.07,4.87,1.7,0.52,19.77,3/11/2005,10:02 AM,,
QC-002,2,forts,88.58,3.13,-0.07,4.88,1.69,0.5,19.78,3/11/2005,10:03 AM,,
QC-002,Mean,forts,88.27,3.14,-0.07,4.88,1.69,0.51,19.77,3/11/2005,10:03 AM,,
QC-002,Sd,forts,0.443,0.011,0.001,0.006,0.005,0.013,0.007,3/11/2005,10:03 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,124.19,3.66,0.15,2.76,1.2,0.78,17.1,3/11/2005,10:03 AM,,
QC-002,2,forts,124.53,3.65,0.13,2.75,1.32,0.79,17.13,3/11/2005,10:04 AM,,
QC-002,Mean,forts,124.36,3.65,0.14,2.76,1.26,0.78,17.12,3/11/2005,10:04 AM,,
QC-002,Sd,forts,0.237,0.004,0.014,0.003,0.089,0.001,0.021,3/11/2005,10:04 AM,,
Calibration,,,,,,,,,,,,,
QC-002,1,forts,182.46,3.56,0.68,4.53,1.13,0.72,19.78,3/11/2005,10:05 AM,,
