"Solution Label","Batch Label","Customer Id","Customer Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int","Internal Std","Date","Time","SD","RSD","IntSD","IntRSD","Act Wgt","Act Vol","DF","NumReps","Replicates",,,
"A00035540005*POT02  ","","","","Samp","Al 396.152","",0.0125899,"mg/L",0.0125899,"mg/L",320.756,"-","08/02/2016","14:33:40",8.13856E-5,0.646434,"1.62776","0.507476",1,1,1,2,319.605,"",321.907,""
"A00035522001*V/LAAGT","","","","Samp","Mn 257.610","",0.0146528,"mg/L",0.0146528,"mg/L",1272.1,"-","08/02/2016","14:35:15",0.000173442,1.18368,"14.5609","1.14464",1,1,1,2,1261.8,"",1282.39,""
"A00035522001*V/LAAGT","","","","Samp","Fe 259.940","",0.0434666,"mg/L",0.0434666,"mg/L",316.57,"-","08/02/2016","14:35:15",0.000259706,0.597484,"1.53696","0.485503",1,1,1,2,315.483,"",317.656,""
"A00035522001*V/LAAGT","","","","Samp","Al 396.152","",0.0311707,"mg/L",0.0311707,"mg/L",692.272,"-","08/02/2016","14:35:15",0.0039491,12.6693,"78.9379","11.4027",1,1,1,2,636.454,"",748.089,""
"Lab Control Sample","","","","LCS","Mn 257.610","",0.996646,"mg/L",0.996646,"mg/L",81656.6,"-","08/02/2016","14:36:50",0.00331333,0.332448,"264.287","0.323656",1,1,1,2,81469.7,"",81843.5,""
"Lab Control Sample","","","","LCS","Fe 259.940","",1.00819,"mg/L",1.00819,"mg/L",5986.44,"-","08/02/2016","14:36:50",0.00987399,0.979378,"57.6278","0.962639",1,1,1,2,5945.7,"",6027.19,""
"Lab Control Sample","","","","LCS","Al 396.152","",0.99657,"mg/L",0.99657,"mg/L",19691.7,"-","08/02/2016","14:36:50",0.0016256,0.16312,"31.4911","0.159921",1,1,1,2,19714,"",19669.4,""
"A00035522002*Main   ","","","","Samp","Mn 257.610","",0.00310325,"mg/L",0.00310325,"mg/L",302.201,"-","08/02/2016","14:38:25",1.82349E-5,0.587609,"1.53176","0.506866",1,1,1,2,303.284,"",301.118,""
"A00035522002*Main   ","","","","Samp","Fe 259.940","",0.0253513,"mg/L",0.0253513,"mg/L",209.348,"-","08/02/2016","14:38:25",0.00165226,6.51747,"9.78077","4.67202",1,1,1,2,202.431,"",216.264,""
"A00035522002*Main   ","","","","Samp","Al 396.152","",0.0293282,"mg/L",0.0293282,"mg/L",655.444,"-","08/02/2016","14:38:25",0.00113666,3.87567,"22.7219","3.46665",1,1,1,2,639.377,"",671.511,""
"A00035522002*Main   ","","","","Samp","Mn 257.610","",0.00317838,"mg/L",0.00317838,"mg/L",308.513,"-","08/02/2016","14:40:00",4.59936E-5,1.44707,"3.86352","1.2523",1,1,1,2,305.781,"",311.245,""
"A00035522002*Main   ","","","","Samp","Fe 259.940","",0.0159651,"mg/L",0.0159651,"mg/L",153.782,"-","08/02/2016","14:40:00",0.000109717,0.687231,"0.649577","0.422402",1,1,1,2,154.241,"",153.322,""
"A00035522002*Main   ","","","","Samp","Al 396.152","",0.025819,"mg/L",0.025819,"mg/L",585.29,"-","08/02/2016","14:40:00",0.00172446,6.67903,"34.4758","5.89037",1,1,1,2,560.912,"",609.668,""
"A00035517001*NGWENYA","","","","Samp","Mn 257.610","",0.00347618,"mg/L",0.00347618,"mg/L",333.528,"-","08/02/2016","14:41:35",1.15012E-5,0.330856,"0.9661","0.289661",1,1,1,2,334.211,"",332.845,""
"A00035517001*NGWENYA","","","","Samp","Fe 259.940","",0.0852736,"mg/L",0.0852736,"mg/L",563.913,"-","08/02/2016","14:41:35",0.000389484,0.456747,"2.30362","0.408507",1,1,1,2,562.284,"",565.542,""
"A00035517001*NGWENYA","","","","Samp","Al 396.152","",0.0270317,"mg/L",0.0270317,"mg/L",609.535,"-","08/02/2016","14:41:35",0.000274488,1.01543,"5.48741","0.900263",1,1,1,2,613.415,"",605.655,""
"A00035517002*PHUMBA ","","","","Samp","Mn 257.610","",0.0035439,"mg/L",0.0035439,"mg/L",339.217,"-","08/02/2016","14:43:11",6.8064E-5,1.9206,"5.71734","1.68545",1,1,1,2,343.259,"",335.174,""
"A00035517002*PHUMBA ","","","","Samp","Fe 259.940","",0.0359263,"mg/L",0.0359263,"mg/L",271.943,"-","08/02/2016","14:43:11",0.00043435,1.209,"2.57079","0.945342",1,1,1,2,273.761,"",270.125,""
"A00035517002*PHUMBA ","","","","Samp","Al 396.152","",0.0217574,"mg/L",0.0217574,"mg/L",504.086,"-","08/02/2016","14:43:11",0.000104324,0.479487,"2.08593","0.413804",1,1,1,2,502.611,"",505.561,""
"A00035517003*FEZELA ","","","","Samp","Mn 257.610","",0.00396085,"mg/L",0.00396085,"mg/L",374.239,"-","08/02/2016","14:44:46",4.27725E-5,1.07988,"3.59281","0.960029",1,1,1,2,371.699,"",376.78,""
"A00035517003*FEZELA ","","","","Samp","Fe 259.940","",0.0429377,"mg/L",0.0429377,"mg/L",313.439,"-","08/02/2016","14:44:46",0.000568922,1.32499,"3.36696","1.0742",1,1,1,2,311.058,"",315.82,""
"A00035517003*FEZELA ","","","","Samp","Al 396.152","",0.0250404,"mg/L",0.0250404,"mg/L",569.724,"-","08/02/2016","14:44:46",0.000545487,2.17843,"10.9058","1.91422",1,1,1,2,562.013,"",577.436,""
"A00035522003*HOPE","","","","Samp","Mn 257.610","",0.00932862,"mg/L",0.00932862,"mg/L",825.059,"-","08/02/2016","14:46:22",0.00069181,7.41599,"58.0946","7.04127",1,1,1,2,783.979,"",866.138,""
"A00035522003*HOPE","","","","Samp","Fe 259.940","",0.0238428,"mg/L",0.0238428,"mg/L",200.418,"-","08/02/2016","14:46:22",6.89839E-5,0.289328,"0.408365","0.203756",1,1,1,2,200.707,"",200.129,""
"A00035522003*HOPE","","","","Samp","Al 396.152","",0.0475191,"mg/L",0.0475191,"mg/L",1018.97,"-","08/02/2016","14:46:22",0.000265004,0.557678,"5.29432","0.519574",1,1,1,2,1015.23,"",1022.72,""
"A00035500003*SO1    ","","","","Samp","Mn 257.610","",0.000687778,"mg/L",0.000687778,"mg/L",99.2864,"-","08/02/2016","14:47:58",1.37777E-5,2.00322,"1.15749","1.16581",1,1,1,2,100.105,"",98.4679,""
"A00035500003*SO1    ","","","","Samp","Fe 259.940","",0.00648062,"mg/L",0.00648062,"mg/L",97.6254,"-","08/02/2016","14:47:58",0.00115761,17.8627,"6.85447","7.02119",1,1,1,2,92.7786,"",102.472,""
"A00035500003*SO1    ","","","","Samp","Al 396.152","",0.017561,"mg/L",0.017561,"mg/L",420.174,"-","08/02/2016","14:47:58",0.000130696,0.74424,"2.61358","0.622025",1,1,1,2,418.326,"",422.022,""
"A00035495001*BK01   ","","","","Samp","Mn 257.610","",1.02263,"mg/L",1.02263,"mg/L",83726.8,"-","08/02/2016","14:49:33",0.0261139,2.55362,"2080.09","2.48438",1,1,1,2,82255.9,"",85197.6,""
"A00035495001*BK01   ","","","","Samp","Fe 259.940","",2.26478,"mg/L",2.26478,"mg/L",13253.4,"-","08/02/2016","14:49:33",0.00480069,0.211972,"27.5067","0.207545",1,1,1,2,13272.8,"",13233.9,""
"A00035495001*BK01   ","","","","Samp","Al 396.152","",0.336705,"mg/L",0.336705,"mg/L",6769.7,"-","08/02/2016","14:49:33",0.00882361,2.62058,"174.651","2.57989",1,1,1,2,6893.2,"",6646.21,""
"A00035495002*BK03   ","","","","Samp","Mn 257.610","",1.57958,"mg/L",1.57958,"mg/L",127428,"-","08/02/2016","14:51:09",0.0426636,2.70095,"3297.01","2.58736",1,1,1,2,129759,"",125096,""
"A00035495002*BK03   ","","","","Samp","Fe 259.940","",0.03822,"mg/L",0.03822,"mg/L",285.518,"-","08/02/2016","14:51:09",0.000565497,1.47959,"3.34691","1.17222",1,1,1,2,283.152,"",287.885,""
"A00035495002*BK03   ","","","","Samp","Al 396.152","",0.51873,"mg/L",0.51873,"mg/L",10362.1,"-","08/02/2016","14:51:09",0.000597684,0.115221,"11.7612","0.113502",1,1,1,2,10370.4,"",10353.7,""
"A00035495003*WM01   ","","","","Samp","Mn 257.610","x","-","mg/L","-","mg/L",3.78472E6,"-","08/02/2016","14:52:44",1.27904,2.41926,"91096.9","2.40697",1,1,1,2,3.7203E6,"x",3.84913E6,"x"
"A00035495003*WM01   ","","","","Samp","Fe 259.940","x","-","mg/L","-","mg/L",414814,"-","08/02/2016","14:52:44",1.16941,1.59943,"6627.62","1.59773",1,1,1,2,410128,"x",419501,"x"
"A00035495003*WM01   ","","","","Samp","Al 396.152","x","-","mg/L","-","mg/L",1.68003E7,"-","08/02/2016","14:52:44",7.95862,0.796892,"133816","0.796511",1,1,1,2,1.67057E7,"x",1.68949E7,"x"
"Blank","","","","Blk","Mn 257.610","",0,"mg/L",0,"mg/L",606.955,"-","08/02/2016","15:34:32",0.0,0.0,"5.89556","0.971334",1,1,1,2,602.787,"",611.124,""
"Blank","","","","Blk","Fe 259.940","",0,"mg/L",0,"mg/L",148.319,"-","08/02/2016","15:34:32",0.0,0.0,"0.129356","0.0872149",1,1,1,2,148.411,"",148.228,""
"Blank","","","","Blk","Al 396.152","",0,"mg/L",0,"mg/L",536.386,"-","08/02/2016","15:34:32",0.0,0.0,"1.67485","0.312246",1,1,1,2,537.571,"",535.202,""
"Standard 1","","","","Std","Mn 257.610","",0.5,"mg/L",0.5,"mg/L",42425.7,"-","08/02/2016","15:36:07",0.0,0.0,"433.429","1.02162",1,1,1,2,42732.2,"",42119.2,""
"Standard 1","","","","Std","Fe 259.940","",0.5,"mg/L",0.5,"mg/L",3092.4,"-","08/02/2016","15:36:07",0.0,0.0,"13.6836","0.442493",1,1,1,2,3082.72,"",3102.07,""
"Standard 1","","","","Std","Al 396.152","",0.5,"mg/L",0.5,"mg/L",10649.9,"-","08/02/2016","15:36:07",0.0,0.0,"1.11797","0.0104975",1,1,1,2,10650.7,"",10649.1,""
"Standard 3","","","","Std","Mn 257.610","",1.5,"mg/L",1.5,"mg/L",123565,"-","08/02/2016","15:37:42",0.0,0.0,"661.134","0.535049",1,1,1,2,124033,"",123098,""
"Standard 3","","","","Std","Fe 259.940","",1.5,"mg/L",1.5,"mg/L",8970.07,"-","08/02/2016","15:37:42",0.0,0.0,"7.53442","0.083995",1,1,1,2,8964.75,"",8975.4,""
"Standard 3","","","","Std","Al 396.152","",5,"mg/L",5,"mg/L",93423.5,"-","08/02/2016","15:37:42",0.0,0.0,"161.718","0.173102",1,1,1,2,93309.2,"",93537.9,""
"Lab Control Sample","","","","LCS","Mn 257.610","",1.00372,"mg/L",1.00372,"mg/L",84190.4,"-","08/02/2016","15:39:16",0.0230636,2.29781,"1871.25","2.22264",1,1,1,2,82867.2,"",85513.5,""
"Lab Control Sample","","","","LCS","Fe 259.940","",1.01704,"mg/L",1.01704,"mg/L",6179.89,"-","08/02/2016","15:39:16",0.00396922,0.390271,"23.3687","0.378141",1,1,1,2,6163.37,"",6196.41,""
"Lab Control Sample","","","","LCS","Al 396.152","",0.978592,"mg/L",0.978592,"mg/L",19966,"-","08/02/2016","15:39:16",0.000769054,0.0785877,"15.0288","0.0752719",1,1,1,2,19976.6,"",19955.4,""
"A00035495004*WM08   ","","","","Samp","Mn 257.610","x","-","mg/L","-","mg/L",4.11862E6,"-","08/02/2016","15:00:41",0.545489,1.04793,"43103.6","1.04656",1,1,1,2,4.1491E6,"x",4.08814E6,"x"
"A00035495004*WM08   ","","","","Samp","Fe 259.940","x","-","mg/L","-","mg/L",49450.9,"-","08/02/2016","15:00:41",0.0207659,0.246727,"121.404","0.245504",1,1,1,2,49365,"x",49536.7,"x"
"A00035495004*WM08   ","","","","Samp","Al 396.152","x","-","mg/L","-","mg/L",9.11465E6,"-","08/02/2016","15:00:41",3.48254,0.649096,"59107.1","0.648484",1,1,1,2,9.15644E6,"x",9.07285E6,"x"
"A00035495005*WM10   ","","","","Samp","Mn 257.610","",0.722392,"mg/L",0.722392,"mg/L",61196.9,"-","08/02/2016","15:04:01",0.00849508,1.17596,"699.434","1.14292",1,1,1,2,61691.5,"",60702.3,""
"A00035495005*WM10   ","","","","Samp","Fe 259.940","uv",-0.0117905,"mg/L",-0.0117905,"mg/L",77.8874,"-","08/02/2016","15:04:01",0.000144396,1.22468,"0.862563","1.10745",1,1,1,2,78.4973,"u",77.2775,"u"
"A00035495005*WM10   ","","","","Samp","Al 396.152","",0.10984,"mg/L",0.10984,"mg/L",2747.71,"-","08/02/2016","15:04:01",0.000511004,0.465226,"10.2696","0.373752",1,1,1,2,2754.97,"",2740.45,""
"A00035495006*WM11   ","","","","Samp","Mn 257.610","",0.00471377,"mg/L",0.00471377,"mg/L",1009.53,"-","08/02/2016","15:05:37",0.00021181,4.49343,"18.0873","1.79165",1,1,1,2,1022.32,"",996.741,""
"A00035495006*WM11   ","","","","Samp","Fe 259.940","uv",-0.00727551,"mg/L",-0.00727551,"mg/L",104.858,"-","08/02/2016","15:05:37",0.00081496,11.2014,"4.86824","4.64269",1,1,1,2,101.416,"u",108.301,"u"
"A00035495006*WM11   ","","","","Samp","Al 396.152","",0.0146002,"mg/L",0.0146002,"mg/L",830.765,"-","08/02/2016","15:05:37",0.000156341,1.07081,"3.15151","0.37935",1,1,1,2,832.993,"",828.536,""
"A00035495006*WM11   ","","","","Samp","Mn 257.610","",0.00374488,"mg/L",0.00374488,"mg/L",926.792,"-","08/02/2016","15:07:11",0.000235435,6.28685,"20.1058","2.16939",1,1,1,2,941.009,"",912.575,""
"A00035495006*WM11   ","","","","Samp","Fe 259.940","uv",-0.00339055,"mg/L",-0.00339055,"mg/L",128.065,"-","08/02/2016","15:07:11",0.00150595,44.416,"8.99591","7.02446",1,1,1,2,121.704,"u",134.426,"u"
"A00035495006*WM11   ","","","","Samp","Al 396.152","",0.01727,"mg/L",0.01727,"mg/L",884.581,"-","08/02/2016","15:07:11",0.000150743,0.872861,"3.03844","0.343489",1,1,1,2,886.73,"",882.433,""
"A00035495007*WM13   ","","","","Samp","Mn 257.610","",0.0122882,"mg/L",0.0122882,"mg/L",1656.22,"-","08/02/2016","15:10:25",0.000330012,2.68559,"28.1705","1.70089",1,1,1,2,1676.14,"",1636.31,""
"A00035495007*WM13   ","","","","Samp","Fe 259.940","",0.0196863,"mg/L",0.0196863,"mg/L",265.901,"-","08/02/2016","15:10:25",0.000349181,1.77373,"2.08528","0.784234",1,1,1,2,267.375,"",264.426,""
"A00035495007*WM13   ","","","","Samp","Al 396.152","",0.0575456,"mg/L",0.0575456,"mg/L",1695.87,"-","08/02/2016","15:10:25",9.62502E-5,0.167259,"1.93755","0.114251",1,1,1,2,1697.24,"",1694.5,""
"A00035495008*WM14   ","","","","Samp","Mn 257.610","",0.00317383,"mg/L",0.00317383,"mg/L",878.024,"-","08/02/2016","15:12:01",3.28844E-5,1.03611,"2.80836","0.31985",1,1,1,2,880.01,"",876.038,""
"A00035495008*WM14   ","","","","Samp","Fe 259.940","",0.00546854,"mg/L",0.00546854,"mg/L",180.985,"-","08/02/2016","15:12:01",6.65644E-5,1.21722,"0.397597","0.219685",1,1,1,2,180.704,"",181.266,""
"A00035495008*WM14   ","","","","Samp","Al 396.152","",0.0400691,"mg/L",0.0400691,"mg/L",1343.96,"-","08/02/2016","15:12:01",0.000241275,0.602147,"4.85972","0.361597",1,1,1,2,1347.39,"",1340.52,""
"A00035495009*WM15   ","","","","Samp","Mn 257.610","",0.473494,"mg/L",0.473494,"mg/L",40572.1,"-","08/02/2016","15:13:37",0.00214477,0.452966,"178.865","0.440857",1,1,1,2,40698.6,"",40445.6,""
"A00035495009*WM15   ","","","","Samp","Fe 259.940","",1.13245,"mg/L",1.13245,"mg/L",6858.79,"-","08/02/2016","15:13:37",0.00173755,0.153432,"10.2127","0.148899",1,1,1,2,6866.01,"",6851.57,""
"A00035495009*WM15   ","","","","Samp","Al 396.152","",1.00111,"mg/L",1.00111,"mg/L",20405.9,"-","08/02/2016","15:13:37",0.00353174,0.352783,"68.9664","0.337974",1,1,1,2,20454.6,"",20357.1,""
"A00035495010*WM19   ","","","","Samp","Mn 257.610","",0.189867,"mg/L",0.189867,"mg/L",16747.4,"-","08/02/2016","15:15:12",0.00825884,4.3498,"698.737","4.17221",1,1,1,2,16253.3,"",17241.5,""
"A00035495010*WM19   ","","","","Samp","Fe 259.940","",0.0346345,"mg/L",0.0346345,"mg/L",355.161,"-","08/02/2016","15:15:12",0.000535336,1.54567,"3.19631","0.899961",1,1,1,2,352.901,"",357.421,""
"A00035495010*WM19   ","","","","Samp","Al 396.152","",0.629324,"mg/L",0.629324,"mg/L",13101.6,"-","08/02/2016","15:15:12",0.00214098,0.340202,"42.3166","0.322988",1,1,1,2,13071.7,"",13131.5,""
"A00035496001*WM20   ","","","","Samp","Mn 257.610","",0.484294,"mg/L",0.484294,"mg/L",41472.5,"-","08/02/2016","15:16:48",0.00683034,1.41037,"569.304","1.37273",1,1,1,2,41070,"",41875.1,""
"A00035496001*WM20   ","","","","Samp","Fe 259.940","",0.089085,"mg/L",0.089085,"mg/L",680.141,"-","08/02/2016","15:16:48",0.000594413,0.667242,"3.54628","0.521404",1,1,1,2,682.648,"",677.633,""
"A00035496001*WM20   ","","","","Samp","Al 396.152","",0.0177019,"mg/L",0.0177019,"mg/L",893.285,"-","08/02/2016","15:16:48",0.000740737,4.18451,"14.9303","1.67139",1,1,1,2,903.843,"",882.728,""
"A00035496002*WM22   ","","","","Samp","Mn 257.610","",1.30159,"mg/L",1.30159,"mg/L",108169,"-","08/02/2016","15:25:38",0.00172574,0.132588,"137.825","0.127416",1,1,1,2,108072,"",108267,""
"A00035496002*WM22   ","","","","Samp","Fe 259.940","uv",-0.00379673,"mg/L",-0.00379673,"mg/L",125.639,"-","08/02/2016","15:25:38",0.000159149,4.19174,"0.950693","0.756686",1,1,1,2,126.311,"u",124.967,"u"
"A00035496002*WM22   ","","","","Samp","Al 396.152","",0.136249,"mg/L",0.136249,"mg/L",3278.22,"-","08/02/2016","15:25:38",0.000559657,0.410762,"11.2379","0.342806",1,1,1,2,3270.27,"",3286.17,""
