Sample ID,Sample Details,Test Name,Result,Units,Absorbance
V-B6,,Ammonia2, 0.4108,mg N/L,0.235686
V-B7,,Chloride,  3.112,mg Cl/L,0.188702
V-B7,,o-Phosphate,  0.067,mg P/L,0.029858
V-B7,,NO3, -0.293,ppm,0.010404
V-B7,,Ammonia2, 0.2722,mg N/L,0.198716
V-B8,,Chloride, 18.357,mg Cl/L,0.316079
V-B8,,o-Phosphate,  0.016,mg P/L,0.011531
V-B8,,NO3,  2.465,ppm,0.379032
V-B8,,Ammonia2, 0.6408,mg N/L,0.296999
KL-B1,,Chloride,  4.419,mg Cl/L,0.200854
KL-B1,,o-Phosphate,  0.362,mg P/L,0.136866
KL-B1,,NO3, -0.304,ppm,0.008910
KL-B1,,Ammonia2, 1.2622,mg N/L,0.462714
KL-B2,,Chloride,  2.359,mg Cl/L,0.181571
KL-B2,,o-Phosphate,  0.049,mg P/L,0.023302
KL-B2,,NO3, -0.224,ppm,0.019621
KL-B2,,Ammonia2, 1.3866,mg N/L,0.495878
KL-B3,,Chloride,  5.051,mg Cl/L,0.206629
KL-B3,,o-Phosphate,  0.057,mg P/L,0.026301
KL-B3,,NO3,  0.378,ppm,0.100071
KL-B3,,Ammonia2, 0.5961,mg N/L,0.285107
KL-B5,,Chloride,  2.904,mg Cl/L,0.186743
KL-B5,,o-Phosphate,  0.039,mg P/L,0.019614
KL-B5,,NO3,  0.119,ppm,0.065502
KL-B5,,Ammonia2, 0.5161,mg N/L,0.263770
KL-B6,,Chloride,  3.656,mg Cl/L,0.193792
KL-B6,,o-Phosphate,  0.092,mg P/L,0.039075
KL-B6,,NO3, -0.313,ppm,0.007699
KL-B6,,Ammonia2, 1.4686,mg N/L,0.517744
KR-B1,,Chloride,  4.884,mg Cl/L,0.205107
KR-B1,,o-Phosphate,  0.023,mg P/L,0.013860
KR-B1,,NO3, -0.162,ppm,0.027953
KR-B1,,Ammonia2, 0.7491,mg N/L,0.325880
T-B1,,Chloride,  7.017,mg Cl/L,0.224189
T-B1,,o-Phosphate,  0.085,mg P/L,0.036359
T-B1,,NO3,  4.180,ppm,0.608265
T-B1,,Ammonia2, 0.4733,mg N/L,0.252355
T-B2,,Chloride,  3.075,mg Cl/L,0.188357
T-B2,,o-Phosphate,  0.198,mg P/L,0.077567
T-B2,,NO3,  6.995,ppm,0.984645
T-B2,,Ammonia2, 0.8978,mg N/L,0.365552
T-B3,,Chloride,  7.469,mg Cl/L,0.228154
T-B3,,o-Phosphate,  0.091,mg P/L,0.038566
T-B3,,NO3, 15.667,ppm,2.143750
T-B3,,Ammonia2, 0.4422,mg N/L,0.244067
T-B4,,Chloride, 11.439,mg Cl/L,0.261765
T-B4,,o-Phosphate,  0.026,mg P/L,0.014894
T-B4,,NO3, -0.035,ppm,0.044884
T-B4,,Ammonia2, 0.5276,mg N/L,0.266834
T-B6,,Chloride,  3.731,mg Cl/L,0.194498
T-B6,,o-Phosphate,  0.083,mg P/L,0.035818
T-B6,,NO3,  2.167,ppm,0.339303
T-B6,,Ammonia2, 1.3248,mg N/L,0.479400
W-S1,,Chloride, 13.439,mg Cl/L,0.277978
W-S1,,o-Phosphate,  0.029,mg P/L,0.016218
W-S1,,NO3, -0.211,ppm,0.021458
W-S1,,Ammonia2, 3.3220,mg N/L,1.011939
W-S2 (2),,Chloride,  9.987,mg Cl/L,0.249703
W-S2 (2),,o-Phosphate,  0.077,mg P/L,0.033489
W-S2 (2),,NO3,  0.114,ppm,0.064767
W-S2 (2),,Ammonia2, 1.3415,mg N/L,0.483847
W-S8,,Chloride, 14.271,mg Cl/L,0.284589
W-S8,,o-Phosphate,  0.027,mg P/L,0.015427
W-S8,,NO3,  0.039,ppm,0.054814
W-S8,,Ammonia2, 2.8384,mg N/L,0.882984
W-S13,,Chloride, 14.198,mg Cl/L,0.284015
W-S13,,o-Phosphate,  0.084,mg P/L,0.036143
W-S13,,NO3,  1.113,ppm,0.198390
W-S13,,Ammonia2, 3.7202,mg N/L,1.118106
W-S14,,Chloride, 14.559,mg Cl/L,0.286863
W-S14,,o-Phosphate,  0.071,mg P/L,0.031253
W-S14,,NO3,  1.119,ppm,0.199146
W-S14,,Ammonia2, 4.1774,mg N/L,1.240027
W-S15,,Chloride, 14.588,mg Cl/L,0.287096
W-S15,,o-Phosphate,  0.199,mg P/L,0.077864
W-S15,,NO3, -0.300,ppm,0.009530
W-S15,,Ammonia2, 3.7724,mg N/L,1.132021
W-S17,,Chloride, 12.863,mg Cl/L,0.273354
W-S17,,o-Phosphate,  0.215,mg P/L,0.083653
W-S17,,NO3, -0.270,ppm,0.013522
W-S17,,Ammonia2, 3.5145,mg N/L,1.063278
W-S18,,Chloride,  9.405,mg Cl/L,0.244792
W-S18,,o-Phosphate,  0.270,mg P/L,0.103555
W-S18,,NO3, -0.140,ppm,0.030916
W-S18,,Ammonia2, 0.8586,mg N/L,0.355085
